Tuple 0,Tuple 1,Tuple 2,Tuple 3
36.185516357421875,246,66,5
33.50202178955078,66,83,5
32.53477096557617,186,505,5
32.469261169433594,505,162,5
32.2994384765625,521,66,5
32.07435989379883,66,39,5
31.43388557434082,66,309,5
31.232561111450195,50,505,5
30.635608673095703,521,505,5
30.12729835510254,346,505,5
29.979663848876953,346,162,5
29.977867126464844,66,311,5
29.111404418945312,346,524,1
28.98207664489746,39,505,5
28.89543914794922,429,83,5
28.8751220703125,512,505,5
28.78119659423828,292,505,5
28.727994918823242,250,328,3
28.688152313232422,521,162,5
28.492355346679688,186,500,5
28.393808364868164,379,162,5
28.215852737426758,111,135,24
27.968915939331055,66,567,5
27.914541244506836,292,186,1
27.899438858032227,32,304,17
27.85914421081543,521,429,5
27.821643829345703,179,512,1
27.803205490112305,353,505,5
27.620704650878906,216,304,17
27.58609390258789,66,173,5
27.549497604370117,287,346,1
27.473848342895508,429,505,5
27.45284652709961,66,200,5
27.431913375854492,128,66,5
27.425241470336914,66,61,5
27.365665435791016,315,162,5
27.25499725341797,123,524,1
27.136476516723633,521,300,5
27.118488311767578,522,25,3
27.07689094543457,521,524,5
27.07497215270996,191,567,1
27.072664260864258,66,170,5
27.070327758789062,474,465,4
27.05075454711914,476,304,17
27.019269943237305,98,162,5
26.9632625579834,524,238,1
26.95985984802246,186,189,1
26.921199798583984,189,83,1
26.919387817382812,184,189,1
26.91559600830078,200,524,1
26.893247604370117,191,440,1
26.86415672302246,286,47,3
26.810962677001953,405,13,3
26.740934371948242,227,13,3
26.72478675842285,66,227,5
26.7017822265625,86,162,5
26.68073272705078,524,384,1
26.658960342407227,292,392,1
26.645992279052734,287,83,1
26.625001907348633,532,83,1
26.618078231811523,286,13,3
26.61574363708496,426,14,2
26.566181182861328,426,259,1
26.53926658630371,17,524,1
26.527738571166992,191,523,1
26.506351470947266,532,186,1
26.496862411499023,489,83,1
26.43988037109375,186,353,1
26.433115005493164,521,98,5
26.41967010498047,465,25,3
26.418703079223633,288,13,3
26.350915908813477,135,174,6
26.309890747070312,186,209,5
26.297574996948242,98,512,1
26.291540145874023,342,242,1
26.280223846435547,353,500,5
26.22268295288086,489,524,1
26.175350189208984,184,233,1
26.148447036743164,521,189,5
26.14828872680664,532,524,1
26.077899932861328,507,369,1
26.071304321289062,507,41,1
26.000810623168945,191,392,1
25.964479446411133,75,135,24
25.88349723815918,84,174,6
25.838817596435547,429,222,5
25.826635360717773,250,465,3
25.792043685913086,507,38,1
25.786022186279297,546,135,24
25.771163940429688,512,309,1
25.761266708374023,409,41,1
25.757017135620117,569,527,3
25.756052017211914,111,174,6
25.74972915649414,477,77,13
25.747425079345703,426,466,2
25.718997955322266,157,524,1
25.692716598510742,508,25,3
25.684167861938477,292,489,1
25.68320655822754,140,309,21
25.662796020507812,296,536,10
25.655860900878906,86,57,1
25.64384651184082,154,71,16
25.641437530517578,86,222,1
25.614343643188477,532,25,3
25.58635139465332,440,39,1
25.58075714111328,179,505,5
25.58037567138672,521,50,5
25.5792293548584,349,189,1
25.575119018554688,49,66,5
25.574373245239258,66,421,5
25.55556297302246,522,83,1
25.473146438598633,222,238,1
25.45852279663086,521,552,5
25.44843101501465,291,567,1
25.44828987121582,37,251,9
25.438720703125,66,291,5
25.421062469482422,485,334,1
25.366430282592773,52,174,6
25.349811553955078,231,13,3
25.327701568603516,429,384,5
25.326766967773438,238,162,5
25.320167541503906,225,259,9
25.29779815673828,532,309,1
25.28465461730957,231,25,3
25.250581741333008,66,96,5
25.24995231628418,179,532,1
25.231014251708984,238,13,3
25.230058670043945,472,83,1
25.225549697875977,350,512,1
25.21776008605957,186,57,1
25.21676254272461,337,13,3
25.212249755859375,440,189,1
25.200590133666992,80,13,3
25.18653106689453,50,173,1
25.185523986816406,291,13,3
25.181671142578125,287,17,1
25.163864135742188,287,222,1
25.15737533569336,472,563,1
25.156320571899414,392,567,1
25.130861282348633,287,392,1
25.122562408447266,521,209,5
25.108123779296875,472,186,1
25.10756492614746,406,13,3
25.08978843688965,489,233,1
25.087583541870117,570,174,6
25.085391998291016,521,61,5
25.085155487060547,287,300,1
25.079130172729492,346,189,1
25.033159255981445,562,147,4
25.03185272216797,17,489,1
25.031618118286133,98,524,1
25.030437469482422,362,93,4
25.029573440551758,349,186,1
25.02796173095703,532,353,1
25.027502059936523,567,83,1
25.019960403442383,179,440,1
25.018409729003906,309,238,1
24.996463775634766,186,552,5
24.98732566833496,524,61,1
24.927183151245117,532,39,1
24.921314239501953,532,489,1
24.913511276245117,365,162,5
24.898509979248047,191,292,1
24.891218185424805,440,222,1
24.875106811523438,86,39,1
24.86267852783203,83,419,1
24.844236373901367,231,101,8
24.838600158691406,86,233,1
24.803598403930664,309,297,1
24.795007705688477,179,157,1
24.788564682006836,349,162,5
24.783466339111328,523,39,1
24.77707862854004,17,189,1
24.764711380004883,271,564,46
24.762649536132812,519,19,4
24.73926544189453,17,233,1
24.729501724243164,191,187,1
24.727447509765625,433,52,6
24.724035263061523,292,297,1
24.71852684020996,56,201,4
24.69906997680664,293,259,1
24.694921493530273,200,57,1
24.68404769897461,362,455,4
24.66844367980957,156,524,1
24.65850067138672,191,173,1
24.64991569519043,26,334,1
24.63131332397461,39,222,1
24.594228744506836,489,309,1
24.592126846313477,369,259,1
24.590816497802734,544,192,1
24.553268432617188,334,38,1
24.54411506652832,123,68,1
24.529146194458008,429,379,5
24.520225524902344,186,527,1
24.515539169311523,186,98,1
24.514816284179688,156,162,5
24.51249885559082,300,346,1
24.511369705200195,426,26,1
24.50933837890625,454,77,13
24.50212287902832,68,500,5
24.478261947631836,246,489,5
24.476865768432617,501,392,1
24.46246337890625,157,353,1
24.455402374267578,420,41,1
24.453811645507812,523,392,1
24.429580688476562,482,242,1
24.41855812072754,271,162,22
24.409955978393555,157,350,1
24.40970230102539,365,505,5
24.401599884033203,191,421,1
24.39440155029297,200,162,5
24.380075454711914,527,13,3
24.365047454833984,349,524,1
24.36078453063965,350,83,1
24.360692977905273,292,501,1
24.32676887512207,353,392,1
24.321487426757812,562,142,10
24.31470489501953,507,293,1
24.304397583007812,378,444,2
24.302562713623047,524,421,1
24.29958152770996,186,44,1
24.299543380737305,287,238,1
24.298742294311523,300,505,5
24.293298721313477,184,505,5
24.29316520690918,191,98,1
24.275936126708984,39,129,0
24.269437789916992,334,432,1
24.259862899780273,544,77,4
24.25861358642578,285,186,1
24.256593704223633,518,156,1
24.24495506286621,308,13,3
24.235694885253906,173,483,2
24.225616455078125,157,209,5
24.223493576049805,300,39,1
24.196271896362305,312,371,13
24.195497512817383,377,409,1
24.192964553833008,293,11,1
24.191913604736328,507,432,1
24.191715240478516,164,446,4
24.18604850769043,171,13,3
24.185903549194336,407,369,4
24.175771713256836,246,189,5
24.170455932617188,369,251,1
24.158838272094727,568,13,3
24.15250587463379,200,156,1
24.148082733154297,37,195,9
24.136741638183594,300,292,1
24.112342834472656,489,200,1
24.100982666015625,510,449,14
24.07500457763672,225,13,3
24.06540298461914,392,222,1
24.063817977905273,115,446,4
24.060100555419922,191,501,1
24.0471248626709,354,135,6
24.031007766723633,365,524,1
24.008769989013672,386,66,5
24.005430221557617,123,350,1
24.003137588500977,86,384,1
23.994659423828125,173,524,1
23.992664337158203,123,500,5
23.984813690185547,179,309,1
23.979341506958008,492,346,1
23.97910499572754,570,524,1
23.97265625,497,11,1
23.96979522705078,37,11,9
23.964645385742188,94,13,3
23.961891174316406,479,13,3
23.947193145751953,212,135,24
23.946353912353516,485,13,3
23.93419075012207,476,251,4
23.913270950317383,522,489,1
23.910371780395508,521,123,5
23.899662017822266,285,512,1
23.892303466796875,204,444,2
23.89056968688965,25,227,3
23.883026123046875,184,392,1
23.879608154296875,291,57,1
23.869802474975586,157,17,1
23.867435455322266,179,500,5
23.85474967956543,507,127,1
23.847196578979492,300,567,1
23.837661743164062,37,278,9
23.824260711669922,407,547,16
23.813066482543945,349,500,5
23.790287017822266,510,83,1
23.77812957763672,156,57,1
23.77237892150879,547,483,2
23.766164779663086,362,476,4
23.759431838989258,123,522,1
23.746503829956055,523,50,1
23.745168685913086,569,405,3
23.737783432006836,421,162,5
23.727100372314453,429,353,5
23.724016189575195,569,346,3
23.72365379333496,50,44,1
23.705102920532227,346,297,1
23.67864418029785,476,485,16
23.661466598510742,353,57,1
23.64347267150879,231,186,1
23.640525817871094,426,385,1
23.638750076293945,186,173,1
23.624229431152344,191,379,5
23.616968154907227,189,233,1
23.6027889251709,472,505,5
23.601621627807617,139,444,2
23.59990119934082,507,137,1
23.59337043762207,170,83,1
23.584674835205078,186,68,1
23.57745361328125,333,13,3
23.571603775024414,562,473,10
23.552656173706055,368,170,15
23.550851821899414,492,524,1
23.540929794311523,68,392,1
23.53907012939453,505,7,5
23.524877548217773,237,392,1
23.523210525512695,523,379,5
23.510299682617188,365,309,1
23.506389617919922,216,223,16
23.5003662109375,36,13,3
23.499208450317383,164,19,4
23.4987735748291,353,523,1
23.498065948486328,476,465,16
23.493850708007812,501,524,1
23.486291885375977,510,292,1
23.48525619506836,20,41,1
23.483734130859375,309,384,1
23.461570739746094,353,156,1
23.458040237426758,365,83,1
23.452787399291992,424,77,13
23.439504623413086,187,512,1
23.428466796875,523,227,1
23.41767692565918,429,315,5
23.416671752929688,189,57,1
23.406484603881836,440,250,3
23.401161193847656,171,25,3
23.399810791015625,349,233,1
23.392030715942383,522,567,1
23.384281158447266,179,292,1
23.382539749145508,349,57,1
23.38176918029785,237,39,1
23.3588809967041,346,523,1
23.356517791748047,115,427,4
23.344053268432617,140,311,21
23.334999084472656,571,321,0
23.334291458129883,225,250,3
23.32986831665039,369,177,1
23.32442855834961,128,524,1
23.323806762695312,241,504,11
23.317975997924805,184,96,1
23.316251754760742,68,379,5
23.309627532958984,52,111,6
23.305316925048828,25,222,3
23.296873092651367,518,309,1
23.295223236083984,231,250,3
23.294631958007812,472,392,1
23.294601440429688,216,485,16
23.293025970458984,521,109,5
23.282089233398438,527,83,1
23.26616859436035,17,527,1
23.26309585571289,168,250,3
23.25346565246582,349,287,1
23.252939224243164,493,259,1
23.240718841552734,569,47,3
23.23999786376953,17,184,1
23.232982635498047,233,297,1
23.23145866394043,481,326,1
23.230451583862305,140,490,21
23.224355697631836,8,162,5
23.220670700073242,187,524,1
23.220333099365234,186,109,1
23.218210220336914,524,514,1
23.218210220336914,200,222,1
23.213130950927734,308,444,2
23.202192306518555,500,39,5
23.193456649780273,464,304,17
23.193239212036133,209,552,5
23.19161033630371,421,309,1
23.183788299560547,465,56,4
23.180631637573242,512,16,1
23.173803329467773,52,505,6
23.168750762939453,407,548,1
